target_work_id,cocitation_strength,cocitation_degree,title,authors,year,topic_label,tier_label,wanfang_count,chapter_no,topic_group,label,gateway
WORK-464D5DA7B167,901,124,基于场景理论的中国城市居住房地产需求研究,吴迪;高鹏;董纪昌,2011,,Confirmed Scenes,83,,Other,,FALSE
WORK-0B7C450D6ADC,1816,169,场景理论：区域发展文化动力的探索及启示,徐晓林;赵铁;特里·N·克拉克,2012,"Policy, governance, and measurement",Confirmed Scenes,250,,Theory and policy,"Xu Xiaolin, Zhao Tie & Clark 2012",TRUE
WORK-3DD575407739,2160,176,场景理论与城市发展——芝加哥学派城市研究新理论范式,吴军; 夏建中; 特里·克拉克,2013,Theory gateways and reviews,Confirmed Scenes,339,,Theory and policy,"Wu Jun, Xia Jianzhong & Clark 2013",TRUE
WORK-11BA0618FDA2,2116,185,城市社会学研究前沿：场景理论述评,吴军,2014,Theory gateways and reviews,Confirmed Scenes,396,,Theory and policy,Wu Jun 2014,TRUE
WORK-18683D52F9EB,746,109,文化动力:一种解释城市发展与转型的新思维,吴军,2015,"Policy, governance, and measurement",Confirmed Scenes,78,,Theory and policy,,FALSE
WORK-BC5A9BAE5E66,586,79,场景、民俗及认同:天津古文化街年货市场研究,桂慕梅,2015,"Arts, identity, and education",Confirmed Scenes,49,,Other,,FALSE
WORK-80AC7412450E,1061,128,当代中国农村公共文化空间的解释维度与场景设计,傅才武; 侯雪言,2016,Rural development,Confirmed Scenes,199,8,Public and rural culture,Fu Caiwu & Hou Xueyan 2016,FALSE
WORK-258AF028DD78,1168,131,公共文化空间与文化参与：基于文化场景理论的实证研究,陈波; 侯雪言,2017,Public culture and community,Confirmed Scenes,227,,Public and rural culture,Chen Bo & Hou Xueyan 2017,FALSE
WORK-43E9D343D41D,948,121,场景理论视角下的城市创意社区发展研究,陈波;吴云梦汝,2017,Public culture and community,Confirmed Scenes,99,,Public and rural culture,,FALSE
WORK-4D1A3778BEE1,305,64,基于文化场景理论的区域文化消费差异化研究,李惠芬;叶南客,2017,Cultural consumption,Confirmed Scenes,35,,Creative industries and consumption,,FALSE
WORK-5CCEE49C14EE,1371,141,场景理论：利用文化因素推动城市发展研究的新视角,吴军,2017,"Policy, governance, and measurement",Confirmed Scenes,184,,Theory and policy,,FALSE
WORK-5F01D46F05DF,959,105,场景理论视角上的南锣鼓巷,刘东超,2017,Interdisciplinary/other,Confirmed Scenes,87,,Other,,FALSE
WORK-7027C924E4F0,487,83,文化增长机器:后工业城市与社区发展路径探索,吴志明;马秀莲;吴军,2017,Public culture and community,Confirmed Scenes,37,,Public and rural culture,,FALSE
WORK-84D006C073AB,1231,143,场景理论视角下的城市青年公共文化空间建构——以北京706青年空间为例,盖琪,2017,Public culture and community,Confirmed Scenes,149,11,Public and rural culture,,FALSE
WORK-B505B0D8FEAA,772,103,文化场景的价值传播及其文化创意培育——城市转型发展的文化视角,范玉刚,2017,Creative industries and innovation,Confirmed Scenes,80,,Creative industries and consumption,,FALSE
WORK-CBCE82BF26D4,1199,120,建设文化场景 培育城市发展内生动力——以生活文化设施为视角,祁述裕,2017,"Policy, governance, and measurement",Confirmed Scenes,131,6,Theory and policy,,FALSE
WORK-91F01F668C94,515,90,中国农村居民文化参与分析与评价:基于场景理论的方法,陈波;丁程,2018,Rural development,Confirmed Scenes,59,,Public and rural culture,,FALSE
WORK-11C4AAF2C2BE,1364,155,基于场景理论的城市街区公共文化空间维度分析,陈波,2019,Public culture and community,Confirmed Scenes,149,7,Public and rural culture,,FALSE
WORK-5281F4B034A3,710,102,场景理论视阈下城市历史文化街区的保护与更新,李林;李舒薇;燕宜芳,2019,"Tourism, heritage, and place",Confirmed Scenes,93,,"Tourism, heritage, and design",,FALSE
WORK-62649CD8235A,494,83,场景理论下我国文化产业园区的发展路径探析,张铮;于伯坤,2019,Creative industries and innovation,Confirmed Scenes,61,,Creative industries and consumption,,FALSE
WORK-67284DE2BEA7,1000,128,城市转型更新背景下的城市文化空间创新策略探究——基于场景理论的视角,余丽蓉,2019,Creative industries and innovation,Confirmed Scenes,103,,Creative industries and consumption,,FALSE
WORK-35709478D0D9,1105,132,中国城市文化场景的模式与特征分析——基于31个城市文化舒适物的实证研究,陈波; 林馨雨,2020,Cultural consumption,Confirmed Scenes,115,,Creative industries and consumption,,FALSE
